axis	band	kind	key	en	ru	es	fr	ar
TF	T_61-80	description	TF.T_61-80.dim.8	Will not take back words, even if they have offended someone.	Не возьмёт свои сказанные слова назад, даже если они кого-то обидели.	No retira sus palabras, aunque hayan ofendido a alguien.	Ne revient pas sur ses mots, même s'ils ont blessé quelqu'un.	لا يتراجع عن كلامه حتى لو آذى مشاعر أحد.
TF	T_61-80	description	TF.T_61-80.dim.9	Willingly engages in conflict if they believe it will accelerate the completion of a task.	Спокойно идёт на конфликт, если считает, что это ускорит выполнение задачи.	Se involucra en conflictos sin dudar si cree que eso acelerará la finalización de una tarea.	S'engage volontiers dans un conflit s'il estime que cela accélérera l'accomplissement d'une tâche.	لا يتردد في الدخول في نزاع إذا رأى أن ذلك سيُسرّع في إنجاز المهمة.
TF	T_41-60	band-label	TF.T_41-60.label	Pronounced Thinker	Выраженный Логик	Pensador Marcado	Penseur Prononcé	المفكر الواضح
TF	T_41-60	description	TF.T_41-60.dim.0	Able to remain calm and composed in situations where others lose their self-control.	Способен оставаться невозмутимым и сдержанным в ситуации, в которой другие теряют самообладание.	Es capaz de mantenerse tranquilo y sereno en situaciones en las que otros pierden el control.	Capable de rester calme et maître de soi dans des situations où les autres perdent leur sang-froid.	قادر على البقاء هادئاً ومتزناً في المواقف التي يفقد فيها الآخرون أعصابهم.
TF	T_41-60	description	TF.T_41-60.dim.1	Prefers to get their way through arguments, facts, proving a point, and debate.	Предпочитает добиваться своего с помощью аргументов, фактов, доказывания правоты, споров.	Prefiere conseguir lo que quiere mediante argumentos, hechos, demostraciones y debates.	Préfère obtenir ce qu'il veut grâce à des arguments, des faits, des preuves et des débats.	يفضل تحقيق أهدافه عبر الحجج والوقائع والإثباتات والنقاشات.
TF	T_41-60	description	TF.T_41-60.dim.2	Makes objective decisions and takes pride in doing so.	Принимает объективные решения и гордится этим.	Toma decisiones objetivas y se enorgullece de ello.	Prend des décisions objectives et en tire une grande fierté.	يتخذ قرارات موضوعية ويفخر بذلك.
TF	T_41-60	description	TF.T_41-60.dim.3	Better developed organizational skills than social communication abilities.	Лучше развиты организаторские способности, чем навыки социальной коммуникации.	Tiene habilidades organizativas más desarrolladas que habilidades de comunicación social.	Possède des compétences organisationnelles plus développées que des aptitudes en communication sociale.	مهاراته التنظيمية أكثر تطوراً من مهارات التواصل الاجتماعي لديه.
TF	T_41-60	description	TF.T_41-60.dim.4	Does everything themselves and uses this to demonstrate their value to others.	Делает всё сам и этим доказывает свою нужность другим людям.	Lo hace todo por sí mismo y así demuestra su valía a los demás.	Fait tout par lui-même et prouve ainsi son utilité aux autres.	يقوم بكل شيء بنفسه ويثبت بذلك أهميته للآخرين.
TF	T_41-60	description	TF.T_41-60.dim.5	Tries to keep their word; and if unable to do so, says so in advance to avoid letting people down.	Старается сдержать своё слово; а если что-то не может, то говорит заранее, чтобы не обмануть человека.	Intenta cumplir su palabra; y si no puede, lo dice con antelación para no decepcionar a nadie.	S'efforce de tenir sa parole ; et s'il ne le peut pas, le signale à l'avance pour ne pas décevoir les autres.	يسعى للوفاء بكلمته؛ وإن عجز عن ذلك، يخبر الآخرين مسبقاً حتى لا يخذلهم.
TF	T_41-60	description	TF.T_41-60.dim.6	In reports, focuses on what was not completed, and on their own and others' mistakes and shortcomings.	В отчётах говорит о невыполненном, о своих и чужих ошибках и недочётах.	En los informes, señala lo que no se ha completado, así como los errores y deficiencias propios y ajenos.	Dans les rapports, met en avant ce qui n'a pas été accompli, ainsi que ses propres erreurs et celles des autres.	في التقارير، يركز على ما لم يُنجز وعلى الأخطاء والقصور سواء من جانبه أو من جانب الآخرين.
TF	T_41-60	description	TF.T_41-60.dim.7	Capable of making difficult decisions.	Способен принимать непростые решения.	Es capaz de tomar decisiones difíciles.	Capable de prendre des décisions difficiles.	قادر على اتخاذ قرارات صعبة.
TF	T_41-60	description	TF.T_41-60.dim.8	Will not take back what they have said.	Не возьмёт свои сказанные слова назад.	No retractará lo que ha dicho.	Ne reviendra pas sur ce qu'il a dit.	لن يتراجع عما قاله.
TF	T_41-60	description	TF.T_41-60.dim.9	Will readily engage in conflict if they believe that conflict will be beneficial to the cause.	Легко пойдёт на конфликт, если посчитает, что этот конфликт будет полезен для дела.	Estará dispuesto a entrar en conflicto si considera que dicho conflicto será beneficioso para el asunto en cuestión.	N'hésitera pas à entrer en conflit s'il estime que ce conflit sera bénéfique pour la cause.	لن يتردد في الدخول في نزاع إذا رأى أن هذا النزاع سيكون مفيداً للقضية.
TF	T_21-40	band-label	TF.T_21-40.label	Moderate Thinker	Умеренный Логик	Pensador Moderado	Penseur Modéré	المفكر المعتدل
TF	T_21-40	description	TF.T_21-40.dim.0	Remains fairly calm in critical situations.	В критических ситуациях достаточно спокоен.	Se mantiene bastante tranquilo en situaciones críticas.	Reste assez calme dans les situations critiques.	يظل هادئاً إلى حد بعيد في المواقف الحرجة.
TF	T_21-40	description	TF.T_21-40.dim.1	Finds it much easier to get results through arguments and facts than through emotions or persuasion.	Намного легче добиться своего с помощью аргументов и фактов, чем с помощью эмоций и уговоров.	Le resulta mucho más fácil conseguir resultados mediante argumentos y hechos que mediante emociones o persuasión.	Trouve qu'il est bien plus facile d'obtenir des résultats par des arguments et des faits que par des émotions ou la persuasion.	يجد أن تحقيق النتائج عبر الحجج والحقائق أسهل بكثير من اللجوء إلى العواطف أو الإقناع.
TF	T_21-40	description	TF.T_21-40.dim.2	Their assessments and decisions are largely objective.	Его оценки и решения в основном объективны.	Sus valoraciones y decisiones son en gran medida objetivas.	Ses évaluations et ses décisions sont en grande partie objectives.	تتسم تقييماته وقراراته في معظمها بالموضوعية.
TF	T_21-40	description	TF.T_21-40.dim.3	Prefers organizing work tasks over planning social events.	С большим удовольствием будет заниматься организацией работы, чем вечеринки.	Prefiere organizar tareas de trabajo antes que planificar eventos sociales.	Préfère organiser des tâches professionnelles plutôt que des événements sociaux.	يفضل تنظيم مهام العمل على التخطيط للفعاليات الاجتماعية.
TF	T_21-40	description	TF.T_21-40.dim.4	Tends to handle things independently and trusts themselves more than others.	Старается делать всё самостоятельно, в себе уверен больше, чем в окружающих.	Tiende a manejar las cosas de forma independiente y confía más en sí mismo que en los demás.	A tendance à gérer les choses de manière autonome et se fait davantage confiance qu'aux autres.	يميل إلى التعامل مع الأمور باستقلالية ويثق بنفسه أكثر من ثقته بالآخرين.
TF	T_21-40	description	TF.T_21-40.dim.5	Makes a point of only promising what they can actually deliver.	Старается обещать только то, что может выполнить.	Se asegura de prometer solo aquello que realmente puede cumplir.	Veille à ne promettre que ce qu'il est réellement capable d'accomplir.	يحرص على أن يعد فقط بما يستطيع تنفيذه فعلاً.
TF	T_21-40	description	TF.T_21-40.dim.6	Focuses reports on future possibilities and opportunities.	В отчётах делает акцент на возможностях будущего.	En los informes, pone el énfasis en las posibilidades y oportunidades futuras.	Met l'accent sur les possibilités et les opportunités futures dans ses rapports.	يركز في تقاريره على الإمكانيات والفرص المستقبلية.
TF	T_21-40	description	TF.T_21-40.dim.7	Does not struggle significantly with making difficult decisions.	Не испытывает больших сложностей в принятии непростых решений.	No tiene grandes dificultades para tomar decisiones difíciles.	Ne rencontre pas de grandes difficultés pour prendre des décisions complexes.	لا يجد صعوبة تُذكر في اتخاذ القرارات الصعبة.
TF	T_21-40	description	TF.T_21-40.dim.8	It is hard to imagine them taking back something they have said.	Сложно представить ситуацию, при которой возьмёт сказанные слова назад.	Es difícil imaginarlo retractándose de algo que haya dicho.	Il est difficile de l'imaginer revenir sur quelque chose qu'il a dit.	يصعب تخيله يتراجع عن شيء قاله.
TF	T_21-40	description	TF.T_21-40.dim.9	Is willing to engage in conflict if they believe it will benefit the outcome.	Может пойти на конфликт, если посчитает, что этот конфликт будет полезен для дела.	Está dispuesto a enfrentarse a un conflicto si considera que beneficiará al resultado final.	Est prêt à s'engager dans un conflit s'il estime que cela sera bénéfique pour le résultat.	مستعد للدخول في صراع إذا رأى أن ذلك سيعود بالفائدة على النتيجة.
TF	T_1-20	band-label	TF.T_1-20.label	Weak Thinker	Слабый Логик	Pensador Débil	Penseur Faible	المفكر الضعيف
TF	T_1-20	description	TF.T_1-20.dim.0	Usually remains calm in critical situations.	В критических ситуациях обычно спокоен.	Por lo general, mantiene la calma en situaciones críticas.	Reste généralement calme dans les situations critiques.	يظل هادئًا في الغالب في المواقف الحرجة.
TF	T_1-20	description	TF.T_1-20.dim.1	Can achieve more through arguments and facts than through emotions and persuasion.	С помощью аргументов и фактов может добиваться большего, чем с помощью эмоций и уговоров.	Puede lograr más mediante argumentos y hechos que a través de emociones y persuasión.	Obtient davantage de résultats par des arguments et des faits que par des émotions et la persuasion.	يستطيع تحقيق نتائج أفضل من خلال الحجج والحقائق أكثر من خلال المشاعر والإقناع.
TF	T_1-20	description	TF.T_1-20.dim.2	Their assessments and decisions tend to be objective.	Его оценки и решения чаще объективны.	Sus valoraciones y decisiones suelen ser objetivas.	Ses évaluations et ses décisions sont le plus souvent objectives.	تميل تقييماته وقراراته إلى أن تكون موضوعية.
TF	T_1-20	description	TF.T_1-20.dim.3	Would find more satisfaction in planning a workday than in casual morning coffee chats with colleagues.	Большее удовольствие принесёт составление плана рабочего дня, чем общение за утренним кофе с коллегами.	Disfrutaría más planificando su jornada laboral que charlando con colegas durante el café matutino.	Trouverait plus de satisfaction à planifier sa journée de travail qu'à discuter autour d'un café matinal avec ses collègues.	يجد متعة أكبر في وضع خطة ليوم العمل مقارنةً بالدردشة مع الزملاء على قهوة الصباح.
TF	T_1-20	description	TF.T_1-20.dim.4	When faced with the choice of doing something alone or asking for help, tends to handle it independently.	Если встанет вопрос сделать самому или попросить помощи, то скорее сделает сам.	Cuando debe elegir entre hacer algo solo o pedir ayuda, prefiere resolverlo por su cuenta.	Lorsqu'il doit choisir entre agir seul ou demander de l'aide, il préfère généralement se débrouiller par lui-même.	عندما يواجه خيار إنجاز العمل بنفسه أو طلب المساعدة، فإنه يميل إلى التصرف باستقلالية.
TF	T_1-20	description	TF.T_1-20.dim.5	Generally makes an effort to follow through on promises.	В основном старается выполнить то, что пообещал.	Por lo general, se esfuerza por cumplir lo que ha prometido.	S'efforce généralement de tenir ses promesses.	يسعى بشكل عام إلى الوفاء بما يعد به.
TF	T_1-20	description	TF.T_1-20.dim.6	In reports, reflects reality and touches briefly on future possibilities.	В отчётах отражает реальность и немного про возможности будущего.	En los informes, refleja la realidad y menciona brevemente las posibilidades futuras.	Dans les rapports, reflète la réalité et aborde brièvement les perspectives d'avenir.	يعكس في تقاريره الواقع ويشير باختصار إلى إمكانيات المستقبل.
TF	T_1-20	description	TF.T_1-20.dim.7	Can make difficult decisions when necessary.	При необходимости может принимать непростые решения.	Puede tomar decisiones difíciles cuando es necesario.	Peut prendre des décisions difficiles lorsque la situation l'exige.	قادر على اتخاذ قرارات صعبة عند الحاجة.
TF	T_1-20	description	TF.T_1-20.dim.8	May take back words only if they have seriously hurt someone.	Может взять сказанные слова назад, только если они кого-то очень сильно обидели.	Solo retira sus palabras si han ofendido gravemente a alguien.	Ne revient sur ses paroles que si elles ont profondément blessé quelqu'un.	لا يتراجع عن كلامه إلا إذا كان قد أساء إلى أحد بشكل بالغ.
TF	T_1-20	description	TF.T_1-20.dim.9	Potential conflicts do not intimidate them.	Возможные конфликты не пугают его.	Los posibles conflictos no le asustan.	Les conflits potentiels ne l'effraient pas.	لا تخيفه النزاعات المحتملة.
TF	balanced_0-0	band-label	TF.balanced_0-0.label	Thinker = Feeler	Логик = Этик	Lógico = Ético	Logique = Éthique	المفكر = العاطفي
TF	balanced_0-0	description	TF.balanced_0-0.dim.0	Experiences some emotions in critical situations, but generally remains calm.	В критических ситуациях испытывает некоторые эмоции, но в целом спокоен.	Experimenta algunas emociones en situaciones críticas, pero en general se mantiene tranquilo.	Ressent quelques émotions dans les situations critiques, mais reste globalement calme.	يشعر ببعض المشاعر في المواقف الحرجة، لكنه يبقى هادئاً بشكل عام.
TF	balanced_0-0	description	TF.balanced_0-0.dim.1	Combines logical arguments with emotional appeal to achieve goals.	Для достижения своих целей сочетает аргументы с эмоциями.	Combina argumentos lógicos con apelaciones emocionales para alcanzar sus objetivos.	Combine arguments logiques et appels émotionnels pour atteindre ses objectifs.	يجمع بين الحجج المنطقية والنداءات العاطفية لتحقيق أهدافه.
TF	balanced_0-0	description	TF.balanced_0-0.dim.2	Judgments and decisions can be either objective or subjective depending on the situation.	Оценки и решения, в зависимости от ситуации, могут быть как объективными, так и субъективными.	Sus juicios y decisiones pueden ser objetivos o subjetivos según la situación.	Ses jugements et décisions peuvent être objectifs ou subjectifs selon la situation.	قد تكون أحكامه وقراراته موضوعية أو ذاتية تبعاً للموقف.
TF	balanced_0-0	description	TF.balanced_0-0.dim.3	Balances planning the workday with casual social interaction, such as chatting with colleagues over morning coffee.	Находит место и планированию своего рабочего дня, и общению с коллегами за утренним кофе.	Equilibra la planificación de su jornada laboral con la interacción social, como conversar con colegas durante el café de la mañana.	Sait concilier la planification de sa journée de travail et les échanges informels avec ses collègues autour d'un café.	يوازن بين تخطيط يومه العملي والتواصل الاجتماعي غير الرسمي، كمحادثة الزملاء على قهوة الصباح.
TF	balanced_0-0	description	TF.balanced_0-0.dim.4	Handles simple tasks independently, but may bring in help for more complex ones.	Простые задачи делает сам, для сложных может привлечь помощников.	Realiza las tareas simples por su cuenta, pero puede buscar ayuda para las más complejas.	Gère seul les tâches simples, mais peut faire appel à de l'aide pour les plus complexes.	ينجز المهام البسيطة بنفسه، لكنه قد يستعين بالآخرين في المهام الأكثر تعقيداً.
TF	balanced_0-0	description	TF.balanced_0-0.dim.5	May occasionally fail to follow through on overpromises, but generally keeps commitments.	Если пообещал что-то лишнее, то может не выполнить, но в основном сдерживает обещания.	En ocasiones puede no cumplir con promesas excesivas, pero generalmente mantiene sus compromisos.	Peut parfois ne pas tenir des promesses excessives, mais respecte généralement ses engagements.	قد لا يفي أحياناً بالوعود المبالغ فيها، غير أنه يلتزم بتعهداته في الغالب.
TF	balanced_0-0	description	TF.balanced_0-0.dim.6	Typically reflects reality accurately in reports.	Обычно в отчётах отражает реальность.	Suele reflejar la realidad con precisión en sus informes.	Reflète généralement la réalité avec précision dans ses rapports.	يعكس الواقع بدقة في تقاريره في الغالب.
TF	balanced_0-0	description	TF.balanced_0-0.dim.7	Will take responsibility for a difficult decision when there is no one else to delegate it to.	Если делегировать принятие непростого решения некому, то возьмёт его на себя.	Asume la responsabilidad de decisiones difíciles cuando no hay nadie más a quien delegárselas.	Prend lui-même en charge les décisions difficiles lorsqu'il n'y a personne à qui les déléguer.	يتحمل مسؤولية القرارات الصعبة حين لا يجد من يفوّضها إليه.
TF	balanced_0-0	description	TF.balanced_0-0.dim.8	May retract words if they have seriously hurt someone close.	Может взять сказанные слова назад, если они сильно обидели близких людей.	Puede retractarse de sus palabras si han herido profundamente a personas cercanas.	Peut revenir sur ses paroles si elles ont profondément blessé des proches.	قد يتراجع عن كلامه إذا أساء بشدة إلى المقربين منه.
TF	balanced_0-0	description	TF.balanced_0-0.dim.9	Generally dislikes conflict, but is willing to engage in it if no other way to resolve the issue is apparent.	Обычно не любит конфликтов, но может на него пойти, если посчитает, что по-другому вопрос не решить.	Generalmente evita los conflictos, pero está dispuesto a afrontarlos si no ve otra forma de resolver el problema.	N'aime généralement pas les conflits, mais est prêt à y faire face s'il estime que c'est le seul moyen de résoudre le problème.	لا يحب الصراعات بشكل عام، لكنه مستعد للدخول فيها إذا رأى أنه لا سبيل آخر لحل المشكلة.
TF	F_1-20	band-label	TF.F_1-20.label	Weak Feeler	Слабый Этик	Sentimental Débil	Émotionnel Faible	الشاعر الضعيف
TF	F_1-20	description	TF.F_1-20.dim.0	Critical situations tend to cause noticeable anxiety.	Критические ситуации могут заставить волноваться.	Las situaciones críticas tienden a generar una ansiedad notable.	Les situations critiques ont tendance à provoquer une anxiété notable.	تميل المواقف الحرجة إلى إثارة قلق ملحوظ لديه.
TF	F_1-20	description	TF.F_1-20.dim.1	Often achieves more through emotional appeal than through logic and facts.	С помощью эмоций может добиваться большего, чем с помощью аргументов и фактов.	Con frecuencia logra más a través del apelo emocional que mediante la lógica y los hechos.	Obtient souvent de meilleurs résultats par l'appel aux émotions que par la logique et les faits.	كثيرًا ما يحقق نتائج أفضل من خلال الجانب العاطفي أكثر من المنطق والحقائق.
TF	F_1-20	description	TF.F_1-20.dim.2	Their assessments and decisions tend to be subjective rather than objective.	Его оценки и решения чаще субъективны.	Sus valoraciones y decisiones suelen ser subjetivas en lugar de objetivas.	Ses évaluations et ses décisions ont tendance à être subjectives plutôt qu'objectives.	تميل تقييماته وقراراته إلى أن تكون ذاتية بدلًا من موضوعية.
TF	F_1-20	description	TF.F_1-20.dim.3	Enjoys casual morning coffee chats with colleagues more than planning out the workday.	Большее удовольствие принесёт общение за утренним кофе с коллегами, чем составление плана рабочего дня.	Disfruta más de una charla informal con colegas por la mañana que de planificar la jornada laboral.	Préfère une conversation informelle autour d'un café matinal avec des collègues plutôt que de planifier sa journée de travail.	يستمتع بالدردشة غير الرسمية مع الزملاء على القهوة الصباحية أكثر من التخطيط ليوم العمل.
TF	F_1-20	description	TF.F_1-20.dim.4	When faced with a task, tends to ask for help rather than tackle it alone.	Если встанет вопрос сделать самому или попросить помощи, то скорее попросит помощи.	Ante una tarea, tiende a pedir ayuda en lugar de afrontarla solo.	Face à une tâche, a tendance à demander de l'aide plutôt que de la gérer seul.	عند مواجهة مهمة ما، يميل إلى طلب المساعدة بدلًا من التعامل معها بمفرده.
TF	F_1-20	description	TF.F_1-20.dim.5	Occasionally makes promises that turn out to be difficult or impossible to keep.	Бывает, что обещает то, что не может выполнить.	En ocasiones hace promesas que resultan difíciles o imposibles de cumplir.	Fait parfois des promesses qui s'avèrent difficiles ou impossibles à tenir.	يُقدم أحيانًا وعودًا يصعب عليه الوفاء بها أو يتعذر عليه ذلك.
TF	F_1-20	description	TF.F_1-20.dim.6	In reports, focuses on what has already been accomplished and includes a personal touch.	В отчётах отражает уже достигнутое и немного про себя.	En los informes, se centra en lo ya logrado e incluye un toque personal.	Dans les rapports, se concentre sur ce qui a déjà été accompli et y ajoute une touche personnelle.	في التقارير، يركز على ما تم إنجازه بالفعل ويضيف لمسة شخصية.
TF	F_1-20	description	TF.F_1-20.dim.7	Tends to avoid making difficult decisions when there is an opportunity to do so.	Если есть возможность, то постарается избежать принятия непростого решения.	Tiende a evitar tomar decisiones difíciles cuando tiene la oportunidad de hacerlo.	A tendance à éviter de prendre des décisions difficiles lorsque l'occasion se présente.	يميل إلى تجنب اتخاذ القرارات الصعبة كلما أتيحت له الفرصة لذلك.
TF	F_1-20	description	TF.F_1-20.dim.8	May retract statements if they realize those words hurt someone.	Может взять сказанные слова назад, если они кого-то обидели.	Puede retractarse de lo dicho si se da cuenta de que sus palabras hirieron a alguien.	Peut revenir sur ses mots s'il réalise qu'ils ont blessé quelqu'un.	قد يتراجع عن كلامه إذا أدرك أن ما قاله قد أساء إلى شخص ما.
TF	F_1-20	description	TF.F_1-20.dim.9	Feels uncomfortable and unsettled in conflict situations.	В конфликтной ситуации чувствует себя плохо.	Se siente incómodo e inquieto en situaciones de conflicto.	Se sent mal à l'aise et perturbé dans les situations de conflit.	يشعر بعدم الارتياح والاضطراب في مواقف الصراع والخلاف.
TF	F_21-40	band-label	TF.F_21-40.label	Moderate Feeler	Умеренный Этик	Sentimental Moderado	Éthique Modéré	الشخصية العاطفية المعتدلة
TF	F_21-40	description	TF.F_21-40.dim.0	Cannot remain calm and composed in critical situations.	В критических ситуациях не может оставаться хладнокровным.	No puede mantener la calma en situaciones críticas.	Ne parvient pas à rester calme et posé dans les situations critiques.	لا يستطيع الحفاظ على هدوئه في المواقف الحرجة.
TF	F_21-40	description	TF.F_21-40.dim.1	Finds it much easier to get what they want through emotions and persuasion than through arguments and facts.	Намного легче добиться своего с помощью эмоций и уговоров, чем с помощью аргументов и фактов.	Le resulta mucho más fácil conseguir lo que quiere mediante emociones y persuasión que con argumentos y hechos.	Trouve bien plus facile d'obtenir ce qu'il veut par les émotions et la persuasion que par les arguments et les faits.	يجد أنه أسهل بكثير تحقيق ما يريده من خلال العواطف والإقناع بدلاً من الحجج والحقائق.
TF	F_21-40	description	TF.F_21-40.dim.2	Their assessments and decisions tend to be subjective.	Его оценки и решения часто субъективны.	Sus valoraciones y decisiones suelen ser subjetivas.	Ses évaluations et ses décisions sont souvent subjectives.	تميل تقييماته وقراراته في الغالب إلى الذاتية.
TF	F_21-40	description	TF.F_21-40.dim.3	Would much rather organize a party than coordinate work tasks.	С большим удовольствием будет заниматься организацией вечеринки, чем работы.	Preferiría organizar una fiesta antes que coordinar tareas de trabajo.	Préférerait largement organiser une fête plutôt que de coordonner des tâches professionnelles.	يفضّل تنظيم حفلة على تنسيق مهام العمل.
TF	F_21-40	description	TF.F_21-40.dim.4	Often enlists the help of others, trusting those around them more than themselves.	Часто привлекает помощников, в окружающих уверен больше, чем в себе.	Con frecuencia recurre a la ayuda de otros, confiando más en quienes le rodean que en sí mismo.	Fait souvent appel à l'aide des autres, faisant plus confiance à son entourage qu'à lui-même.	كثيراً ما يستعين بمساعدة الآخرين، إذ يثق بمن حوله أكثر مما يثق بنفسه.
TF	F_21-40	description	TF.F_21-40.dim.5	Sometimes makes promises not to keep them, but to maintain a reputation as a good person.	Бывает, что обещает что-то не для того, чтобы выполнить, а для того, чтобы не испортить репутацию хорошего человека.	A veces hace promesas no para cumplirlas, sino para mantener la reputación de ser buena persona.	Il lui arrive de faire des promesses non pas pour les tenir, mais pour préserver sa réputation de personne bienveillante.	يعطي الوعود أحياناً لا ليفي بها، بل للحفاظ على سمعته كشخص طيب.
TF	F_21-40	description	TF.F_21-40.dim.6	In reports, emphasizes achieved results and those who stood out.	В отчётах делает акцент на достигнутые показатели и отличившихся.	En los informes, destaca los resultados alcanzados y a quienes se distinguieron.	Dans les rapports, met l'accent sur les résultats atteints et sur ceux qui se sont distingués.	يُركّز في التقارير على النتائج المحققة والأشخاص الذين تميّزوا.
TF	F_21-40	description	TF.F_21-40.dim.7	Tends to delegate difficult decisions to others.	Старается кому-то передать принятие непростых решений.	Tiende a delegar las decisiones difíciles en otras personas.	A tendance à déléguer les décisions difficiles à d'autres personnes.	يميل إلى إحالة القرارات الصعبة إلى الآخرين.
TF	F_21-40	description	TF.F_21-40.dim.8	Will most likely take back words that have hurt or offended someone.	Скорее всего возьмёт сказанные слова назад, если они кого-то обидели.	Lo más probable es que retire lo dicho si sus palabras han ofendido a alguien.	Reviendra très probablement sur ses paroles si elles ont blessé quelqu'un.	على الأرجح سيتراجع عن كلامه إذا كان قد أساء إلى أحد.
TF	F_21-40	description	TF.F_21-40.dim.9	Tries to avoid taking on tasks that may involve conflict during their execution.	Старается не брать в работу дела, во время выполнения которых могут возникнуть конфликты.	Intenta evitar asumir tareas en las que puedan surgir conflictos durante su ejecución.	Cherche à éviter de prendre en charge des tâches susceptibles de générer des conflits en cours d'exécution.	يسعى إلى تجنب تولي المهام التي قد تنشأ عنها نزاعات أثناء تنفيذها.
TF	F_41-60	band-label	TF.F_41-60.label	Pronounced Feeler	Выраженный Этик	Sentimental Marcado	Émotionnel Prononcé	الشخصية العاطفية الواضحة
TF	F_41-60	description	TF.F_41-60.dim.0	Does not hide anxiety or distress in critical situations.	В критических ситуациях не скрывает волнения.	No oculta su nerviosismo o angustia en situaciones críticas.	Ne dissimule pas son inquiétude ou sa détresse dans les situations critiques.	لا يخفي قلقه أو توتره في المواقف الحرجة.
TF	F_41-60	description	TF.F_41-60.dim.1	Tends to get what they want through emotional appeal, persuasion, and manipulation.	Предпочитает добиваться своего с помощью эмоций, уговоров, манипуляций.	Tiende a conseguir lo que quiere mediante el recurso emocional, la persuasión y la manipulación.	A tendance à obtenir ce qu'il veut par l'appel émotionnel, la persuasion et la manipulation.	يميل إلى تحقيق أهدافه عبر الاستمالة العاطفية والإقناع والتلاعب.
TF	F_41-60	description	TF.F_41-60.dim.2	Their decisions are often subjective, taking into account the feelings and interests of those around them.	Его решения часто субъективны, учитывают интересы и эмоции его окружения.	Sus decisiones suelen ser subjetivas y tienen en cuenta los sentimientos e intereses de quienes le rodean.	Ses décisions sont souvent subjectives et tiennent compte des sentiments et des intérêts de son entourage.	تكون قراراته في الغالب ذاتية، إذ تأخذ بعين الاعتبار مشاعر واهتمامات المحيطين به.
TF	F_41-60	description	TF.F_41-60.dim.3	Social communication skills are more developed than organizational or leadership abilities.	Лучше развиты навыки социальной коммуникации, чем организаторские способности.	Las habilidades de comunicación social están más desarrolladas que las capacidades organizativas o de liderazgo.	Les compétences en communication sociale sont plus développées que les capacités organisationnelles ou de leadership.	تفوق مهاراته في التواصل الاجتماعي قدراته التنظيمية والقيادية.
TF	F_41-60	description	TF.F_41-60.dim.4	Has a keen sense of when others need them and uses this awareness to their advantage.	Умеет чувствовать свою нужность другим людям и этим пользуется.	Tiene un agudo sentido de cuándo los demás le necesitan y utiliza esta percepción en su beneficio.	Perçoit avec acuité quand les autres ont besoin de lui et tire parti de cette sensibilité.	يمتلك حساسية مرهفة تجاه حاجة الآخرين له، ويوظّف هذا الإدراك لصالحه.
TF	F_41-60	description	TF.F_41-60.dim.5	Maintaining a good relationship matters more than being strictly honest, so they often promise what is expected rather than what they can actually deliver.	Не так важно не обмануть человека, сколько не испортить с ним отношений; поэтому он часто обещает не то, что сможет выполнить, а то, чего от него ожидают.	Mantener una buena relación importa más que ser estrictamente honesto, por lo que suele prometer lo que se espera de él en lugar de lo que realmente puede cumplir.	Préserver une bonne relation compte plus qu'être strictement honnête, aussi promet-il souvent ce que l'on attend de lui plutôt que ce qu'il peut réellement accomplir.	الحفاظ على العلاقة الجيدة أهم عنده من الصراحة التامة، لذا كثيراً ما يعد بما يُتوقع منه لا بما يستطيع الوفاء به فعلاً.
TF	F_41-60	description	TF.F_41-60.dim.6	Skilled at accounting for their actions and writing reports in a way that praises everyone, especially themselves.	Умеет отчитываться за содеянное, писать отчёты и при том похвалить всех и прежде всего себя.	Es hábil para rendir cuentas de sus acciones y redactar informes de manera que elogie a todos, especialmente a sí mismo.	Sait rendre compte de ses actions et rédiger des rapports en valorisant tout le monde, et en premier lieu lui-même.	يُجيد تقديم تقارير عن أعماله بأسلوب يُثني فيه على الجميع، وفي مقدمتهم نفسه.
TF	F_41-60	description	TF.F_41-60.dim.7	Finds it difficult to make tough or uncomfortable decisions.	Сложно принимать непростые решения.	Le resulta difícil tomar decisiones difíciles o incómodas.	A du mal à prendre des décisions difficiles ou inconfortables.	يجد صعوبة في اتخاذ القرارات الصعبة أو المزعجة.
TF	F_41-60	description	TF.F_41-60.dim.8	Will retract statements if they turn out to have hurt or offended someone.	Возьмёт сказанные слова назад, если они кого-то обидели.	Retira lo dicho si resulta que sus palabras han herido u ofendido a alguien.	Retire ses propos s'ils se révèlent avoir blessé ou offensé quelqu'un.	يتراجع عن كلامه إذا تبيّن أنه أساء أو أزعج أحداً.
TF	F_41-60	description	TF.F_41-60.dim.9	Strongly prefers harmony and actively tries to avoid conflict.	Предпочитает согласие, старается избегать конфликтов.	Prefiere claramente la armonía y trata activamente de evitar los conflictos.	Préfère nettement l'harmonie et cherche activement à éviter les conflits.	يؤثر الانسجام والتوافق، ويسعى بنشاط إلى تجنّب النزاعات.
TF	F_61-80	band-label	TF.F_61-80.label	Strong Feeler	Сильный Этик	Ético Fuerte	Éthique Fort	شخصية عاطفية قوية
TF	F_61-80	description	TF.F_61-80.dim.0	Visibly anxious in critical situations.	Заметно волнуется в критических ситуациях.	Se muestra visiblemente nervioso en situaciones críticas.	Se montre visiblement anxieux dans les situations critiques.	يُظهر قلقًا واضحًا في المواقف الحرجة.
